domain,title,ip,server,encode
www.gec.ey.gov.tw,行政院性別平等會,117.56.132.11,,utf8
e-iot.iot.gov.tw,交通服務e網通,61.57.40.122,Microsoft-IIS/6.0,utf8
168.motc.gov.tw,交通安全入口網-中文網,223.200.48.86,Microsoft-IIS/7.5,utf8
www.nsc.gov.tw,,,,utf8
g2e.nat.gov.tw,,,,utf8
web.pcc.gov.tw,政府電子採購網,61.57.42.137,IBM_HTTP_Server,utf8
greenliving.epa.gov.tw,綠色生活,223.200.80.191,"Apache/2.4.7 (Unix) OpenSSL/1.0.1e",big5
tyart.tnc.gov.tw,總爺藝文中心-總爺藝文中心,96.44.173.62,Apache,utf8
www.nmtl.gov.tw,國立台灣文學館-首頁,210.69.147.125,Microsoft-IIS/8.5,utf8
www.tncsec.gov.tw,國立臺南生活美學館-首頁,210.69.147.125,Microsoft-IIS/8.5,utf8
xinying-culture.tainan.gov.tw,新營文化中心,61.60.91.165,"Apache/2.2.15 (CentOS)",utf8
soulangh.tnc.gov.tw,-蕭壠文化園區,96.44.173.62,Apache,utf8
fossil.tnc.gov.tw,"臺南市菜寮化石館 歡迎頁",61.60.91.165,"Apache/2.2.15 (CentOS)",utf8
ystlmm-culture.tainan.gov.tw,葉石濤文學紀念館,61.60.91.165,"Apache/2.2.15 (CentOS)",utf8
superspace.moc.gov.tw,文化部-地方文化館,210.69.147.119,Microsoft-IIS/8.5,utf8
www.madou.gov.tw,臺南市麻豆區公所全球資訊網,163.29.141.2,Microsoft-IIS/7.5,big5
sec.yongkangcity.gov.tw,,125.227.242.215,Apache,utf8
w2-culture.tainan.gov.tw,臺南市政府文化局,61.60.91.170,"Apache/2.2.11 (Unix) DAV/2 PHP/5.2.8 mod_apreq2-20051231/2.6.0 mod_perl/2.0.4 Perl/v5.10.0",utf8
creativetainan.culture.tainan.gov.tw,,122.147.183.228,,utf8
www.boch.gov.tw,"::: 文化部文化資產入口網 :::",163.29.7.13,Apache-Coyote/1.1,utf8
tmach-culture.tainan.gov.tw,臺南市文化資產管理處,210.69.40.219,Microsoft-IIS/7.5,utf8
tour-culture.tainan.gov.tw,"臺南行旅 臺南文化觀光網",61.60.91.170,"Apache/2.2.11 (Unix) DAV/2 PHP/5.2.8 mod_apreq2-20051231/2.6.0 mod_perl/2.0.4 Perl/v5.10.0",utf8
tour.tainan.gov.tw,台南旅遊網,211.20.54.241,Microsoft-IIS/7.5,utf8
newculture.tncg.gov.tw,,210.69.40.219,,utf8
style-culture.tainan.gov.tw,品味臺南-咱在地的故事,61.60.91.165,"Apache/2.2.15 (CentOS)",utf8
www.nmth.gov.tw,國立臺灣歷史博物館-首頁,210.69.147.125,Microsoft-IIS/8.5,utf8
publications.culture.tainan.gov.tw,臺南市政府文化局出版品資訊網,114.30.35.23,Apache,utf8
lane321.culture.tainan.gov.tw,,61.60.91.162,,utf8
newculture.tainan.gov.tw,,210.69.40.219,,utf8
88flood.www.gov.tw,,,,utf8
oldisgood.tainan.gov.tw,"臺南市歷史老屋與歷史街區教育推廣補助計畫 - 好舊。好",103.17.11.108,Apache,utf8
www.humanrights.moj.gov.tw,人權大步走專區,163.29.130.141,Microsoft-IIS/7.5,utf8
"ystlmm-culture.tainan.gov.tw ",,,,utf8
trd.tnc.gov.tw,臺南研究資料庫,61.60.91.172,"Apache/2.2.27 (Unix)",utf8
mocfile.moc.gov.tw,,210.69.147.123,Microsoft-IIS/8.5,utf8
contactus.moc.gov.tw,IIS7,210.69.147.199,Microsoft-IIS/7.5,utf8
children.moc.gov.tw,"文化部兒童文化館 - 2016前導動畫",163.29.7.8,Apache,big5
jp.moc.gov.tw,中華民国(台湾)文化部,210.69.147.11,Apache,utf8
english.moc.gov.tw,"Ministry of Culture",210.69.147.11,Apache,utf8
grants.moc.gov.tw,文化部獎補助資訊網,210.69.147.116,Microsoft-IIS/8.5,big5
event.moc.gov.tw,文化部全國藝文活動資訊系統網,210.69.147.29,Microsoft-IIS/7.5,utf8
stat.moc.gov.tw,"文化統計網 - 首頁",210.69.147.100,Microsoft-IIS/7.5,utf8
poeticleap.moc.gov.tw,"齊東詩舍 詩的復興",210.69.147.131,"Apache/2.2.15 (CentOS)",utf8
book.moc.gov.tw,中小學生優良課外讀物推介評選活動,210.69.147.217,Apache,utf8
goldentripodawards.moc.gov.tw,"第40屆 金鼎獎頒獎典禮",210.69.147.51,"Apache/2.2.15 (CentOS)",utf8
cultural-award.moc.gov.tw,"中華民國行政院文化獎 Nation Cultural Award of R.O.C. (Taiwan)",210.69.147.216,Microsoft-IIS/5.0,utf8
artbank.ntmofa.gov.tw,藝術銀行,163.29.7.88,Microsoft-IIS/7.0,utf8
cyberstage.moc.gov.tw,文化部網路劇院,210.69.147.5,Microsoft-IIS/7.0,utf8
publicart.moc.gov.tw,,210.69.147.121,,utf8
artres.moc.gov.tw,,,,utf8
learning.moc.gov.tw,藝學網,210.69.147.115,Microsoft-IIS/8.5,utf8
sixstar.moc.gov.tw,文化部臺灣社區通,210.69.147.33,Apache-Coyote/1.1,utf8
youthgo.moc.gov.tw,青年村落文化行動計畫-首頁,210.69.147.117,Microsoft-IIS/8.5,utf8
www.webguide.nat.gov.tw,"國家發展委員會 - 政府網站營運交流平台",117.56.91.128,Microsoft-IIS/7.5,utf8
shoppingfun.tainan.gov.tw,,210.69.40.77,Microsoft-IIS/6.0,utf8
plan.tainan.gov.tw,"Microsoft Internet Information Services 8",210.69.40.19,Microsoft-IIS/8.0,utf8
cmsweb.tainan.gov.tw,臺南市政府線上即時服務平台,210.69.40.232,Microsoft-IIS/7.5,utf8
1999.tainan.gov.tw,台南市民服務熱線1999,210.69.57.138,Microsoft-IIS/7.5,utf8
underground.tainan.gov.tw,臺南市區鐵路地下化專案,210.69.57.144,Microsoft-IIS/7.5,utf8
tnroad.tainan.gov.tw,,210.65.225.102,"Apache/2.2.3 (CentOS)",utf8
publicworks.tainan.gov.tw,臺南市政府工務局,60.249.237.10,Microsoft-IIS/7.5,utf8
health.tainan.gov.tw,臺南市政府衛生局,61.60.120.5,Microsoft-IIS/7.5,utf8
diggis.tainan.gov.tw,臺南市道路挖掘管理系統,59.125.203.146,Microsoft-IIS/7.5,utf8
data.tainan.gov.tw,"歡迎 - 臺南市政府資料開放平台",210.61.12.3,nginx/1.1.19,utf8
119.tainan.gov.tw,臺南市政府消防局,163.29.211.138,Microsoft-IIS/7.5,utf8
